"country","retailer","retailer_slug","product_family","brand","device_type","model","capacity_gb","offer_type","price_value","price_text","price_unit","term_months","in_stock","data_quality_tier","price_capture_kind","extracted_at","source_url","source_title","source_snapshot","source_snapshots"
"ES","Santander Boutique","santander_boutique","Apple","Apple","tablet","Apple iPad Mini WiFi",128,"renting_no_insurance",19.0,"19.00 EUR","EUR/month",36,True,"santander_api_live","api_exact","2026-03-25T15:52:48.290540+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-mini-Wi-Fi/p/MXN63TY_A","iPad Mini WiFi","20260412_080223_88ad379d.csv","20260412_080223_88ad379d.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","tablet","Apple iPad Mini WiFi",128,"financing_max_term",22.65,"22.65 EUR","EUR/month",30,True,"santander_api_live","api_exact","2026-03-25T15:52:48.290540+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-mini-Wi-Fi/p/MXN63TY_A","iPad Mini WiFi","20260412_080223_88ad379d.csv","20260412_080223_88ad379d.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","tablet","Apple iPad Mini WiFi",128,"financing_max_term",24.09,"24.09 EUR","EUR/month",24,True,"santander_api_live","api_exact","2026-03-25T15:52:48.290540+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-mini-Wi-Fi/p/MXN63TY_A","iPad Mini WiFi","20260412_080223_88ad379d.csv","20260412_080223_88ad379d.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","tablet","Apple iPad Mini WiFi",128,"financing_max_term",31.23,"31.23 EUR","EUR/month",18,True,"santander_api_live","api_exact","2026-03-25T15:52:48.290540+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-mini-Wi-Fi/p/MXN63TY_A","iPad Mini WiFi","20260412_080223_88ad379d.csv","20260412_080223_88ad379d.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","tablet","Apple iPad Mini WiFi",128,"financing_max_term",45.75,"45.75 EUR","EUR/month",12,True,"santander_api_live","api_exact","2026-03-25T15:52:48.290540+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-mini-Wi-Fi/p/MXN63TY_A","iPad Mini WiFi","20260412_080223_88ad379d.csv","20260412_080223_88ad379d.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","tablet","Apple iPad Mini WiFi",128,"financing_max_term",91.5,"91.50 EUR","EUR/month",6,True,"santander_api_live","api_exact","2026-03-25T15:52:48.290540+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-mini-Wi-Fi/p/MXN63TY_A","iPad Mini WiFi","20260412_080223_88ad379d.csv","20260412_080223_88ad379d.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","tablet","Apple iPad Mini WiFi",128,"financing_max_term",183.0,"183.00 EUR","EUR/month",3,True,"santander_api_live","api_exact","2026-03-25T15:52:48.290540+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-mini-Wi-Fi/p/MXN63TY_A","iPad Mini WiFi","20260412_080223_88ad379d.csv","20260412_080223_88ad379d.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","tablet","Apple iPad Mini WiFi",128,"cash",549.0,"549.00 EUR","EUR","",True,"santander_api_live","api_exact","2026-03-25T15:52:48.290540+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-mini-Wi-Fi/p/MXN63TY_A","iPad Mini WiFi","20260412_080223_88ad379d.csv","20260412_080223_88ad379d.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","tablet","Apple iPad Mini WiFi",256,"renting_no_insurance",23.38,"23.38 EUR","EUR/month",36,True,"santander_api_live","api_exact","2026-03-25T15:52:49.004959+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-mini-Wi-Fi/p/MXNA3TY_A","iPad Mini WiFi","20260412_080223_88ad379d.csv","20260412_080223_88ad379d.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","tablet","Apple iPad Mini WiFi",256,"financing_max_term",27.56,"27.56 EUR","EUR/month",30,True,"santander_api_live","api_exact","2026-03-25T15:52:49.004959+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-mini-Wi-Fi/p/MXNA3TY_A","iPad Mini WiFi","20260412_080223_88ad379d.csv","20260412_080223_88ad379d.csv"
