country,retailer,retailer_slug,product_family,brand,device_type,model,capacity_gb,product_code,offer_type,price_value,price_text,price_unit,term_months,in_stock,data_quality_tier,extracted_at,source_url,source_title,source_snapshot,source_snapshots
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,256,MHRV4QL_A,renting_no_insurance,20.99,20.99 EUR,EUR/month,36,True,santander_api_live,2026-03-10T08:23:06.487564+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRV4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,256,MHRV4QL_A,renting_with_insurance,22.99,22.99 EUR,EUR/month,36,True,santander_api_live,2026-03-10T08:23:06.487587+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRV4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,256,MHRV4QL_A,financing_max_term,26.81,26.81 EUR,EUR/month,30,True,santander_api_live,2026-03-10T08:23:06.487600+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRV4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,256,MHRV4QL_A,financing_max_term,31.1,31.10 EUR,EUR/month,24,True,santander_api_live,2026-03-10T08:23:06.487606+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRV4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,256,MHRV4QL_A,financing_max_term,40.33,40.33 EUR,EUR/month,18,True,santander_api_live,2026-03-10T08:23:06.487611+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRV4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,256,MHRV4QL_A,financing_max_term,59.08,59.08 EUR,EUR/month,12,True,santander_api_live,2026-03-10T08:23:06.487616+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRV4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,256,MHRV4QL_A,financing_max_term,118.17,118.17 EUR,EUR/month,6,True,santander_api_live,2026-03-10T08:23:06.487620+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRV4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,256,MHRV4QL_A,financing_max_term,236.33,236.33 EUR,EUR/month,3,True,santander_api_live,2026-03-10T08:23:06.487624+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRV4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,256,MHRV4QL_A,cash,709.0,709.00 EUR,EUR,,True,santander_api_live,2026-03-10T08:23:06.487630+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRV4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,512,MHRY4QL_A,renting_no_insurance,28.99,28.99 EUR,EUR/month,36,True,santander_api_live,2026-03-10T08:23:07.479174+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRY4QL_A,iPhone 17e,,
